title,description,genres
Dead Man Walking ,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,Drama
Across the Sea of Time ,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.","Adventure, History, Drama, Family"
It Takes Two ,"Travis is due to marry Stephanie in a few days when he is convinced by beautiful saleswoman Jonni to buy a fancy sports car. The car looks good, but it turns out to be a piece of junk. Travis is determined to get satisfaction and he and Jonni hit the road to confront the crooked car dealer.","Comedy, Romance"
Clueless ,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","Comedy, Romance"
"Cry, the Beloved Country ",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,Drama
Richard III ,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.","Drama, War"
Dead Presidents ,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,"Action, Crime, Drama, Thriller, War"
Restoration ,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","Drama, Romance"
Mortal Kombat ,"In 1980s Hollywood, action star Johnny Cage is looking to become an A-list actor. But when his costar, Jennifer, goes missing from set, Johnny finds himself thrust into a world filled with shadows, danger, and deceit. As he embarks on a bloody journey, Johnny quickly discovers the City of Angels has more than a few devils in its midst.","Animation, Action, Fantasy, Adventure"
To Die For ,"Civil war reigns in one of the most dangerous areas of the world for 7 years. The Turkish army enters the region without any allied states. Among the officials in the region, there are also the Special Forces team under the command of Captain Alparslan. Together with Captain Pilot Onur, Tim brings out a big trap against the Turkish army. In order to break the trap, the main test for the team that fights the lives of terrorists against the terrorists in the difficult conditions is to be able to survive without losing their conscience.","Drama, War"
How to Make an American Quilt ,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","Drama, Romance"
Seven ,,"Animation, Drama, Action"
Pocahontas ,"Set in Colonial America, Pocahontas has become a story of historical value known and loved internationally, among children of all ages. The film tells the story of the first English settlers in Virginia and the Native Americans who lived there.  It highlights the very different values of the two civilisations and particularly their attitude and respect for the land. It's a culture shock story and, on a personal level, a love story",Animation
When Night Is Falling ,"Camille is a professor at a Protestant college and is in a long-term relationship Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.","Drama, Romance"
"Usual Suspects, The ","Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","Drama, Crime, Thriller"
Guardian Angel ,"Film biography dwelling on the hectic artistic life of António Variações, a famous Portuguese pop rock singer from the 80s, who died from AIDS-related complications in 1984.","Music, History, Drama"
Mighty Aphrodite ,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","Comedy, Romance"
Lamerica ,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",Drama
"Big Green, The ","In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.","Family, Comedy"
Georgia ,"More than 10 years after the 2008 Georgian Russian War, wounds in the Caucasian country remain open. We travel to this beautiful country to get closer to its political, cultural and social realities, to learn a little more about that wound that still hurts.",Documentary
Kids of the Round Table ,"Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.","Family, Fantasy, Comedy, Adventure"
Home for the Holidays ,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.","Comedy, Drama, Romance"
"Postman, The ",A happy go lucky postman stumbles upon an empty house.,"Horror, Mystery"
"Confessional, The ","Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.","Thriller, Drama, Mystery"
"Indian in the Cupboard, The ",A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,"Adventure, Family, Fantasy"
Eye for an Eye ,A highly trained and exceptionally deadly swordsman looks for revenge after being caught in the middle of a power struggle that results in the assassination of an innocent woman's family.,"Action, Drama"
Mr. Holland's Opus ,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Drama, Music"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?","Comedy, Crime"
Two if by Sea ,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.","Comedy, Romance"
Bio-Dome ,"Bud and Doyle are a pair of aimless slackers with no real direction in life. While their environmentally-conscious girlfriends are passionate about saving the planet, the two couldn't care less. One day, they accidentally stumble into a high-stakes scientific experiment—a year-long mission in a sealed ""Bio-Dome"" with no contact with the outside world—and unwittingly become part of the project.",Comedy
Lawnmower Man 2: Beyond Cyberspace ,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.","Science Fiction, Horror, Action, Thriller"
Two Bits ,"Comedy about idiotic (the two can't even add 1+1) kidnappers, both played for unknown reasons by Joe Piscopo, who capture two young girls and hold them for ransom. However, in ""Home Alone"" fashion, the two girls make fools of the two men. The film becomes even sillier as two horses who talk to one another decide to rescue the girls from the kidnappers","Comedy, Family, Adventure"
French Twist ,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.","Comedy, Romance"
Friday ,"A Shabbat meal turns into a nightmare when a violent argument breaks out between Nico and his sister Rachel. Torn between their religious and cultural origins, the characters ultimately have one goal: to preserve what remains of their heritage. Between a horror thriller and a family comedy, Vendredi soir explores the complexity of cultural mixing in the middle of a Montreal winter.","Comedy, Thriller"
From Dusk Till Dawn ,"After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.","Horror, Action, Thriller, Crime"
Fair Game ,"When Gene, a maniacally deranged computer-game designer, gets dumped by his beautiful artist wife, he devises a masochistic plan for revenge. Taking his spouse prisoner, Gene locks her in her windowless Los Angeles loft but leaves her with something to keep her company -- a deadly mamba snake. Via electronic sensors and cameras, he watches with glee as his terrorized ex-lover fights for her life.","Crime, Drama, Thriller, Horror"
Kicking and Screaming ,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.","Comedy, Drama, Romance"
"Misérables, Les ","In France during World War II, a poor and illiterate man, Henri Fortin, is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.","Drama, History"
Bed of Roses ,"In this whimsical fable, Resnais deftly interweaves three story lines: the creation of an early-20th-century utopia; romantic high jinks at a school conference; and a fantasy sparked by F/X pioneer Georges Méliès.","Drama, Comedy"
Big Bully ,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Comedy
Screamers ,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.","Horror, Science Fiction, War"
Nico Icon ,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",Documentary
"Crossing Guard, The ","Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.","Drama, Thriller"
"Juror, The ","Seoul, South Korea, September 21st, 2008. Eight citizens, the first to intervene as jurors in the country's legal history, are randomly selected to examine a matricide case that appears to have been resolved due to the existence of apparently conclusive evidence.",Drama
"White Balloon, The ",Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,Drama
Things to Do in Denver When You're Dead ,Five different criminals face imminent death after botching a job quite badly.,"Drama, Crime"
Antonia's Line ,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.","Drama, Comedy"
Once Upon a Time... When We Were Colored ,A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.,"Romance, Drama"
Last Summer in the Hamptons ,"Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.","Comedy, Drama"
Angels and Insects ,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.","Drama, Romance"
White Squall ,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.","Drama, Adventure"
Dunston Checks In ,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!","Family, Comedy, Adventure"
Black Sheep ,"Schwarze Schafe (Black Sheep) is a german/swiss black and white movie. It's separated into five episodes, which tell stories of the Berlin city life. A hopeless impostor. An East German couple who dreams of the big money. Three Turkish teenagers who do everything to have sex. Two hapless Satanists. And gay boys who dream of a better world. An anarchist, humorous black comedy about life in Berlin.",Comedy
Nick of Time ,"A wealthy American businessman, Mr. Clarke, forces his dissolute but charming nephew James to go with him to Russia, where he buys a Faberge watch that belonged to Nicholas II himself. He is received by Mr. Borsch, who dreams of becoming a minister by signing a lucrative contract. A representative of a Japanese company, nicknamed the Samurai during the auction, is hunting for the same watch. Borshch's wife also ""laid eyes"" on an antique watch, and a talented thief leaves the prison. All the participants of the future adventures met at the restaurant, where James met the beautiful niece of Borsch's wife. Mr. Clark flies to Namibia, instructing his nephew to put the watch in the hotel safe. Naturally, on the same evening, the watch is stolen...",Comedy
The Journey of August King ,"The Journey of August King is a multi-dimensional drama about a North Carolina farmer in 1815. August King, a widower, is on his way home as he does every year after selling his produce and purchasing the stock and goods he will need to survive the winter. On his journey, he comes upon a run-away slave, a young woman about 19 and August King must decide to violate the law and help this slave to freedom or else leave her to be hunted down and, ultimately, returned to her slave owner.",Drama
Mary Reilly ,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.","Drama, Horror, Thriller"
Vampire in Brooklyn ,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — she meets Maximilian, a smooth-talking Caribbean playboy determined to romance her.","Comedy, Horror, Romance, Fantasy"
Beautiful Girls ,"17-year-old Cyril is funny, smart and an all-round good guy. Just his somewhat overlarge nose spoils the picture. On a school trip to Berlin with Roxy, a stunning new classmate, Cyril is not the only one taken with her. Benno, the class Casanova has his eye on the girl too and makes a nasty wager. Roxy is more interested in the introverted Rick, who is not only shy but also slow. Cyril hastens with his spoken word skills to Rick's aid, and falls head over heels in love with Roxy himself. So whose brave heart will win the fair lady?","Comedy, Romance, Drama, Music"
Broken Arrow ,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","Action, Thriller"
In the Bleak Midwinter ,"Out of work actor Joe volunteers to help try and save his sister's local church for the community by putting on a Christmas production of Hamlet, somewhat against the advice of his agent Margaretta. As the cast he assembles are still available even at Christmas and are prepared to do it on a 'profit sharing' basis (that is, they may not get paid anything) he cannot expect - and does not get - the cream of the cream. But although they all bring their own problems and foibles along, something bigger starts to emerge in the perhaps aptly named village of Hope.",Comedy
Hate ,Journalist Kavya Krishna loves tycoon Siddharth - who uses and abuses her. How far will Kavya go to get revenge?,"Drama, Thriller"
Shopping ,"“WAGERL” takes a humorous look at the controversial shopping carts in Vienna’s Großfeldsiedlung, which not only shape the parks, residential buildings, and streets but also cause a lot of trouble.",Documentary
Heidi Fleiss: Hollywood Madam ,"A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the interview, so the crew searches for anyone who'll talk about the young woman. Two people have a lot to say to the camera: a retired madam named Alex for whom Fleiss once worked and Fleiss's one-time boyfriend, Ivan Nagy, who introduced her to Alex. Alex and Nagy don't like each other, so the crew shuttles between them with ""she said"" and ""he said."" When they finally interview Fleiss, they spend their time reciting what Alex and Nagy have had to say and asking her reaction.",Documentary
City Hall ,"Michelle Buteau talks going viral, raising twins, and the lows of getting high in this herstory-making special.",Comedy
Bottle Rocket ,"Peter sends a bottle rocket into space and tells his friend Thomas, to their surprise, the bottle goes to space. The film then follows their attempt to reclaim the bottle rocket to avoid federal prison.",Comedy
